rank,gender,gender_dist_raw_html,forename_URL,name,incidence,frequency,Definition,approximate_usage,most_prevalent,highest_density,world_most_common_rank
1,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/musa,Musa,"2,407,040",1:74,"Musa is a given name of the Lozi tribe, meaning: mercy.","3,438,292",Nigeria,Gambia,124th 
2,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/ibrahim,Ibrahim,"2,330,121",1:76,"Ibrahim (Arabic: إبراهيم‎, Ibrāhīm) is the Arabic name of the prophet and patriarch Abraham and one of Allah's messengers in the Quran. It is a common first name and surname among Muslims and Arab Christians, a derivative of the name Abraham or Avram from Judaism and Christianity in the Middle East.","7,488,578",Nigeria,Maldives,38th 
3,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abubakar,Abubakar,"1,981,909",1:90,,"2,166,618",Nigeria,Nigeria,272nd 
4,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/sani,Sani,"1,617,172",1:110,,"2,000,911",Nigeria,Nigeria,312th 
5,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/abdullahi,Abdullahi,"1,529,423",1:116,,"1,799,271",Nigeria,Somalia,367th 
6,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/mohammed,Mohammed,"1,407,369",1:126,Arabic (masculine) - Greatly praised.,"45,652,154",Bangladesh,Bangladesh,3rd 
7,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/sunday,Sunday,"1,362,233",1:130,,"1,541,982",Nigeria,Nigeria,471st 
8,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/umar,Umar,"1,299,392",1:137,,"1,736,326",Nigeria,Nigeria,387th 
9,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/emmanuel,Emmanuel,"1,282,079",1:138,Hebrew (masculine) - God with us.,"5,066,942",Nigeria,Rwanda,68th 
10,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/adamu,Adamu,"1,258,123",1:141,"
Adamu is a common given name in West Africa, particularly in Nigeria. It is a variation of the Arabic name Adam, which means 'man' or 'human being'.
","1,361,143",Nigeria,Nigeria,569th 
11,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/usman,Usman,"1,167,759",1:152,,"1,805,882",Nigeria,Nigeria,363rd 
12,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/blessing,Blessing,"1,157,912",1:153,"A Anglo-Saxon name, meaning: A benediction.","1,225,784",Nigeria,Nigeria,659th 
13,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/aliyu,Aliyu,"971,776",1:183,,"980,894",Nigeria,Nigeria,922nd 
14,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/aisha,Aisha,"956,544",1:186,The name means 'full of life'.,"2,166,060",Nigeria,Nigeria,273rd 
15,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/muhammed,Muhammed,"950,357",1:187,"Muhammad (Arabic: محمد‎) is the primary transliteration of the Arabic given name مُحَمَّد‎ that comes from the passive participle of the Arabic verb ḥammada (حَمَّدَ), praise, which comes from the triconsonantal root Ḥ-M-D. The word can therefore be translated as 'praised, commendable, laudable'.","1,692,427",Nigeria,Gambia,403rd 
16,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/john,John,"924,831",1:192,"A male name. Hebrew Johanan (Latin Johannes) 'Jah is gracious'. One of the commonest of Jewish names. As the name of both the Baptist and an Evangelist (each of whom had two festivals, the Nativity and the Decollation of St John the Baptist, and the Nativity of St John the Evangelist and St John before the Latin Gate) John was marked out for popularity as a christian name.","14,323,797",United States,Tuvalu,12th 
17,100%,"<div class=""m full"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/muhammad,Muhammad,"889,503",1:200,"(Arabic: محمد‎) is the primary transliteration of the Arabic given name مُحَمَّد. it comes from the passive participle of the Arabic verb, ḥammada (حَمَّدَ), meaning 'praise', which comes from the triconsonantal root Ḥ-M-D. The word can therefore be translated as 'praised', 'commendable', 'laudable'.","26,397,029",Pakistan,Pakistan,5th 
18,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/fatima,Fatima,"883,495",1:201,"Fatıma [pronounced as: [faːtˤɪmaː]] (Arabic: فَاطِمَة‎, Fāṭimah) is a female given name of Arabic origin used throughout the Muslim world. Several relatives of the Islamic prophet Muhammad had the name, including his daughter Fatima as the most famous one.","7,251,577",Algeria,Oman,40th 
19,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/mary,Mary,"861,259",1:206,"A female name. (French Marie, It, German Maria, Rlus Marya, Masha); Hebrew 'rebellion’. This is the same as Miriam (q.v.), the name of the sister of Moses and Aaron. The consonants of the Hebrew word are M-R-Y-M, and when vowels were inserted in about the 7th C it became Miryam; the Septuagint, however, vocalized it as Μαριάμ (Mariam), and this is the usual form in the Greek New Testament both for the Blessed Virgin and for Mary sister of Lazarus, while Μαριά (Maria) is most often used for the other Marys.","11,303,767",United States,South Sudan,21st 
20,100%,"<div class=""f"" style=""width:100px;"">100%</div>",https://forebears.io/forenames/esther,Esther,"859,891",1:206,"A female name. in the Old Testament book of this name, Esther is given as the Persian equivalent of the Hebrew Hadassah ‘myrtle’, though it is usually supposed to be from the Persian word for a star. In the Septuagint the name appears as ‘Εσσθήρ, whence Latin Esthera, Hestera.","3,566,497",Nigeria,Liberia,116th 
